domain	enst_id	chrom	strand	chromStart	chromEnd	cdsStart	cdsEnd	domain_count	domain_start	domain_end	part_type	source
KCNS3__Potassium channel, voltage dependent, Kv9	ENST00000304101	chr2	+	17877847	18361616	17931009	17932484	7	17931066,17931111,17931180,17931252,17931321,17931579,17932185	17931104,17931161,17931221,17931299,17931359,17931617,17932241	family	prints
KCNS3__Potassium channel, voltage dependent, Kv	ENST00000304101	chr2	+	17877847	18361616	17931009	17932484	4	17931204,17931903,17931975,17932188	17931236,17931929,17932019,17932223	family	prints
KCNS3__Voltage-dependent channel domain superfamily	ENST00000304101	chr2	+	17877847	18361616	17931009	17932484	1	17931474	17931926	homologous_superfamily	cathgene3d
KCNS3__Ion transport domain	ENST00000304101	chr2	+	17877847	18361616	17931009	17932484	1	17931567	17932256	domain	pfam
MAP4K4__Protein kinase-like domain superfamily	ENST00000324219	chr2	+	101696850	101894690	101698081	101891249	9	101698485,101790720,101823928,101825319,101829504,101831721,101834409,101835900,101839819	101698538,101790776,101824053,101825429,101829594,101831851,101834463,101835978,101839915	homologous_superfamily	ssf
MAP4K4__Protein kinase domain	ENST00000324219	chr2	+	101696850	101894690	101698081	101891249	9	101698488,101790720,101823928,101825319,101829504,101831721,101834409,101835900,101839819	101698538,101790776,101824053,101825429,101829594,101831851,101834463,101835978,101839912	domain	profile,pfam,smart
MAP4K4__Protein kinase, ATP binding site	ENST00000324219	chr2	+	101696850	101894690	101698081	101891249	2	101698506,101790720	101698538,101790758	binding_site	prosite
MAP4K4__Serine/threonine-protein kinase, active site	ENST00000324219	chr2	+	101696850	101894690	101698081	101891249	1	101829531	101829569	active_site	prosite
MAP4K4__Citron homology (CNH) domain	ENST00000324219	chr2	+	101696850	101894690	101698081	101891249	7	101871494,101873647,101874082,101877003,101882551,101885187,101887088	101871685,101873764,101874252,101877146,101882685,101885287,101887123	domain	profile,pfam,smart
TMEM163__Transmembrane protein 163	ENST00000281924	chr2	-	134455759	134719000	134718935	134456716	8	134718734,134713200,134552048,134550570,134502901,134466114,134458032,134456719	134718794,134713319,134552091,134550661,134502997,134466225,134458173,134456776	family	panther
TMEM163__Cation efflux transmembrane domain superfamily	ENST00000281924	chr2	-	134455759	134719000	134718935	134456716	7	134713200,134552048,134550570,134502901,134466114,134458032,134456752	134713266,134552091,134550661,134502997,134466225,134458173,134456776	homologous_superfamily	ssf,cathgene3d
STK39__Protein kinase-like domain superfamily	ENST00000355999	chr2	-	167954020	168247595	168247435	167955496	10	168247228,168181978,168167299,168163739,168161787,168140649,168140289,168138088,168129710,168129565	168247279,168182090,168167407,168163880,168161842,168140758,168140390,168138221,168129758,168129606	homologous_superfamily	ssf
STK39__Protein kinase domain	ENST00000355999	chr2	-	167954020	168247595	168247435	167955496	9	168247228,168181978,168167299,168163739,168161787,168140649,168140289,168138088,168129722	168247249,168182090,168167407,168163880,168161842,168140758,168140390,168138221,168129758	domain	profile,pfam,smart
STK39__Protein kinase, ATP binding site	ENST00000355999	chr2	-	167954020	168247595	168247435	167955496	2	168247228,168182023	168247231,168182090	binding_site	prosite
STK39__Serine/threonine-protein kinase OSR1/WNK, CCT domain	ENST00000355999	chr2	-	167954020	168247595	168247435	167955496	4	168063500,168017043,168012634,167964698	168063522,168017095,168012702,167964726	domain	pfam
KCNIP3__Recoverin family	ENST00000295225	chr2	+	95297327	95386077	95297439	95384049	8	95310406,95374296,95374848,95375138,95381596,95382377,95383232,95384002	95310520,95374420,95374917,95375208,95381703,95382481,95383294,95384043	family	panther
KCNIP3__EF-hand domain pair	ENST00000295225	chr2	+	95297327	95386077	95297439	95384049	7	95374337,95374848,95375138,95381596,95382377,95383232,95384002	95374420,95374917,95375208,95381703,95382481,95383294,95384034	homologous_superfamily	ssf
KCNIP3__EF-hand domain	ENST00000295225	chr2	+	95297327	95386077	95297439	95384049	6	95374854,95375138,95381596,95382377,95383232,95384002	95374917,95375208,95381703,95382481,95383294,95384013	domain	profile,cdd,pfam,smart
KCNIP3__EF-Hand 1, calcium-binding site	ENST00000295225	chr2	+	95297327	95386077	95297439	95384049	3	95381671,95382377,95383238	95381703,95382382,95383276	binding_site	prosite
MED12L__Mediator complex, subunit Med12	ENST00000687756	chr3	+	151085286	151437072	151086927	151432804	2	151122879,151127825	151122974,151127911	domain	smart,pfam
MED12L__Mediator complex, subunit Med12, LCEWAV-domain	ENST00000687756	chr3	+	151085286	151437072	151086927	151432804	9	151159841,151163893,151165420,151165846,151185330,151188354,151190717,151192550,151193490	151160101,151164042,151165519,151165982,151185461,151188480,151190931,151192654,151193606	domain	pfam
MED12L__Mediator complex, subunit Med12, catenin-binding	ENST00000687756	chr3	+	151085286	151437072	151086927	151432804	5	151388125,151389979,151394656,151409243,151411278	151388172,151390135,151394867,151409332,151411424	domain	pfam
SPTSSB__Small subunit of serine palmitoyltransferase-like	ENST00000620149	chr3	-	161344798	161372880	161346323	161346093	1	161346147	161346305	family	pfam
MCCC1__Pre-ATP-grasp domain superfamily	ENST00000265594	chr3	-	183015218	183116075	183099440	183015438	4	183094559,183092409,183086693,183072377	183094589,183092545,183086788,183072487	homologous_superfamily	ssf
MCCC1__Biotin carboxylation domain	ENST00000265594	chr3	-	183015218	183116075	183099440	183015438	11	183092409,183086693,183072366,183071210,183070999,183057311,183052159,183045413,183041567,183039026,183037330	183092540,183086788,183072487,183071357,183071120,183057422,183052240,183045540,183041750,183039135,183037434	domain	profile
MCCC1__Biotin carboxylase-like, N-terminal domain	ENST00000265594	chr3	-	183015218	183116075	183099440	183015438	3	183092409,183086693,183072386	183092537,183086788,183072487	domain	pfam
MCCC1__Carbamoyl-phosphate synthetase large subunit-like, ATP-binding domain	ENST00000265594	chr3	-	183015218	183116075	183099440	183015438	7	183072366,183071210,183070999,183057311,183052159,183045413,183041727	183072370,183071357,183071120,183057422,183052240,183045540,183041750	domain	prosite,pfam
MCCC1__ATP-grasp fold	ENST00000265594	chr3	-	183015218	183116075	183099440	183015438	6	183071210,183070999,183057311,183052159,183045413,183041742	183071350,183071120,183057422,183052240,183045540,183041750	domain	profile
MCCC1__Rudiment single hybrid motif	ENST00000265594	chr3	-	183015218	183116075	183099440	183015438	3	183041567,183039026,183037324	183041702,183039135,183037434	homologous_superfamily	ssf
MCCC1__Biotin carboxylase, C-terminal	ENST00000265594	chr3	-	183015218	183116075	183099440	183015438	3	183041567,183039026,183037342	183041687,183039135,183037434	domain	smart,pfam
MCCC1__Single hybrid motif	ENST00000265594	chr3	-	183015218	183116075	183099440	183015438	3	183020130,183017266,183015471	183020183,183017337,183015566	homologous_superfamily	ssf
MCCC1__Biotin/lipoyl attachment	ENST00000265594	chr3	-	183015218	183116075	183099440	183015438	3	183020130,183017266,183015471	183020180,183017337,183015566	domain	profile,pfam
MCCC1__Biotin-binding site	ENST00000265594	chr3	-	183015218	183116075	183099440	183015438	2	183017266,183015552	183017304,183015566	binding_site	prosite
IP6K2__Inositol polyphosphate kinase	ENST00000328631	chr3	-	48688003	48740353	48695291	48688273	5	48695090,48692954,48691307,48689538,48688276	48695291,48693179,48691482,48689713,48688773	family	panther,pfam
IP6K2__Inositol polyphosphate kinase superfamily	ENST00000328631	chr3	-	48688003	48740353	48695291	48688273	3	48691307,48689538,48688279	48691475,48689713,48688773	homologous_superfamily	cathgene3d
NMD3__Ribosomal export protein Nmd3	ENST00000351193	chr3	+	161104696	161253532	161222014	161250910	15	161222032,161224930,161227247,161233399,161234727,161235122,161238113,161238730,161241046,161242508,161246336,161247258,161249454,161250256,161250780	161222057,161225064,161227343,161233479,161234855,161235212,161238191,161238826,161241163,161242653,161246448,161247330,161249560,161250326,161250865	family	panther
NMD3__Nmd3, N-terminal	ENST00000351193	chr3	+	161104696	161253532	161222014	161250910	7	161224934,161227247,161233399,161234727,161235122,161238113,161238730	161225064,161227343,161233479,161234855,161235212,161238191,161238811	domain	pfam
KPNA1__Importin-alpha, importin-beta-binding domain	ENST00000344337	chr3	-	122421902	122514945	122496565	122426985	3	122496437,122467322,122463967	122496565,122467429,122464041	domain	profile,pfam
KPNA1__Importin subunit alpha	ENST00000344337	chr3	-	122421902	122514945	122496565	122426985	13	122496437,122467322,122463942,122461224,122453870,122451976,122451534,122449574,122442038,122437170,122433661,122427538,122426988	122496565,122467429,122464041,122461318,122454001,122452064,122451633,122449737,122442116,122437295,122433788,122427716,122427172	family	pirsf
KPNA1__Importin-alpha, importin-beta-binding domain superfamily	ENST00000344337	chr3	-	122421902	122514945	122496565	122426985	2	122496437,122467406	122496541,122467429	homologous_superfamily	cathgene3d
KPNA1__Armadillo-type fold	ENST00000344337	chr3	-	122421902	122514945	122496565	122426985	13	122496437,122467322,122463942,122461224,122453870,122451976,122451534,122449574,122442038,122437170,122433661,122427538,122427075	122496529,122467429,122464041,122461318,122454001,122452064,122451633,122449737,122442116,122437295,122433788,122427716,122427172	homologous_superfamily	ssf
KPNA1__Armadillo-like helical	ENST00000344337	chr3	-	122421902	122514945	122496565	122426985	11	122463942,122461224,122453870,122451976,122451534,122449574,122442038,122437170,122433661,122427538,122427066	122464029,122461318,122454001,122452064,122451633,122449737,122442116,122437295,122433788,122427716,122427172	homologous_superfamily	cathgene3d
KPNA1__Armadillo	ENST00000344337	chr3	-	122421902	122514945	122496565	122426985	15	122461224,122453870,122452035,122451976,122451564,122451534,122449642,122449574,122442059,122442038,122437185,122437170,122433684,122433661,122427611	122461316,122454001,122452064,122452031,122451633,122451557,122449737,122449638,122442116,122442055,122437295,122437187,122433788,122433677,122427716	repeat	profile,pfam,smart
KPNA1__Atypical Arm repeat	ENST00000344337	chr3	-	122421902	122514945	122496565	122426985	2	122427538,122427057	122427571,122427172	repeat	pfam
SATB1__DNA-binding protein SATB1/SATB2	ENST00000338745	chr3	-	18345377	18445588	18420967	18349170	10	18420757,18416902,18416007,18415111,18397179,18394462,18386399,18378170,18351992,18349173	18420967,18417078,18416133,18415234,18397290,18394916,18386611,18378325,18352195,18349682	family	panther
SATB1__SATB, ULD domain superfamily	ENST00000338745	chr3	-	18345377	18445588	18420967	18349170	3	18420757,18416902,18416015	18420766,18417078,18416133	homologous_superfamily	cathgene3d
SATB1__SATB, ubiquitin-like oligomerisation domain	ENST00000338745	chr3	-	18345377	18445588	18420967	18349170	2	18416902,18416012	18417073,18416133	domain	cdd,pfam
SATB1__SATB, CUTL domain superfamily	ENST00000338745	chr3	-	18345377	18445588	18420967	18349170	3	18416007,18415111,18397180	18416014,18415234,18397290	homologous_superfamily	cathgene3d
SATB1__SATB, CUT1-like DNA-binding domain	ENST00000338745	chr3	-	18345377	18445588	18420967	18349170	2	18415111,18397189	18415221,18397290	domain	pfam
SATB1__CUT domain	ENST00000338745	chr3	-	18345377	18445588	18420967	18349170	4	18394462,18386474,18378170,18352058	18394587,18386611,18378295,18352195	domain	smart,profile,pfam
SATB1__Lambda repressor-like, DNA-binding domain superfamily	ENST00000338745	chr3	-	18345377	18445588	18420967	18349170	4	18394462,18386468,18378170,18352043	18394572,18386611,18378310,18352195	homologous_superfamily	ssf,cathgene3d
SATB1__Homeobox-like domain superfamily	ENST00000338745	chr3	-	18345377	18445588	18420967	18349170	1	18349353	18349547	homologous_superfamily	ssf
SATB1__Homeobox domain	ENST00000338745	chr3	-	18345377	18445588	18420967	18349170	1	18349341	18349538	domain	cdd,profile,smart,pfam
LCORL__Homeobox-like domain superfamily	ENST00000635767	chr4	-	17841187	18021876	18021751	17845888	2	17878018,17877259	17878176,17877432	homologous_superfamily	ssf
LCORL__DNA binding HTH domain, Psq-type	ENST00000635767	chr4	-	17841187	18021876	18021751	17845888	2	17878063,17877280	17878152,17877444	domain	profile,pfam
SNCA__Synuclein	ENST00000394991	chr4	-	89700345	89838315	89835667	89726628	4	89835547,89828143,89822246,89729194	89835667,89828184,89822388,89729277	family	pfam,panther,prints
SNCA__Alpha-synuclein	ENST00000394991	chr4	-	89700345	89838315	89835667	89726628	5	89835547,89828143,89822246,89729194,89726652	89835667,89828184,89822388,89729277,89726660	family	panther,prints
CLCN3__Chloride channel ClC-3	ENST00000513761	chr4	+	169612633	169723673	169635929	169719997	6	169680064,169680178,169687679,169689216,169690530,169697591	169680096,169680198,169687699,169689230,169690547,169697620	family	prints
CLCN3__Chloride channel, core	ENST00000513761	chr4	+	169612633	169723673	169635929	169719997	8	169687682,169689043,169690530,169692114,169695612,169697189,169703998,169706868	169687757,169689230,169690652,169692320,169695692,169697734,169704184,169707052	homologous_superfamily	ssf
CLCN3__Chloride channel, voltage gated	ENST00000513761	chr4	+	169612633	169723673	169635929	169719997	7	169690584,169692114,169695612,169697189,169703998,169706868,169707002	169690652,169692320,169695692,169697734,169704184,169706980,169707046	family	pfam,prints
CLCN3__CBS domain superfamily	ENST00000513761	chr4	+	169612633	169723673	169635929	169719997	3	169707071,169713079,169719907	169707266,169713295,169719970	homologous_superfamily	cathgene3d,ssf
CLCN3__CBS domain	ENST00000513761	chr4	+	169612633	169723673	169635929	169719997	4	169707083,169713079,169713192,169719907	169707266,169713095,169713295,169719976	domain	profile,pfam,smart
FAM47E-STBD1__FAM47 family	ENST00000515604	chr4	+	76251721	76311129	76251747	76309173	2	76251747,76256178	76251820,76256499	family	panther,pfam
TMEM175__Endosomal/lysomomal potassium channel TMEM175	ENST00000264771	chr4	+	932387	958656	947740	958496	7	947842,948116,950421,951207,951682,955826,957824	947892,948154,950518,951258,951711,955890,958049	family	pfam
SCARB2__Lysosome membrane protein II	ENST00000264896	chr4	-	76158737	76234536	76213543	76161713	13	76213463,76213427,76195826,76180954,76179694,76179616,76179532,76175796,76174184,76168403,76166268,76163225,76161719	76213537,76213459,76195864,76180998,76179705,76179678,76179585,76175846,76174246,76168434,76166301,76163263,76161751	family	prints
SCARB2__CD36 family	ENST00000264896	chr4	-	76158737	76234536	76213543	76161713	12	76213427,76195707,76180954,76179517,76176437,76175791,76174144,76169867,76168403,76166250,76163225,76161716	76213513,76195864,76181101,76179705,76176528,76175910,76174313,76169985,76168476,76166301,76163383,76161751	family	panther,pfam,prints
BST1__ADP-ribosyl cyclase (CD38/157)	ENST00000265016	chr4	+	15703065	15738313	15703145	15731845	9	15703145,15705515,15707511,15711807,15715285,15715707,15718907,15722875,15731740	15703332,15705641,15707646,15711889,15715361,15715799,15718993,15722934,15731821	family	cdd,pfam,panther
DCAF16__DDB1- and CUL4-associated factor 16	ENST00000382247	chr4	-	17800655	17810758	17804141	17803491	1	17803494	17804141	family	panther,pfam
CAMK2D__Protein kinase-like domain superfamily	ENST00000511664	chr4	-	113418054	113761927	113761068	113455755	10	113761004,113759320,113661713,113609152,113552031,113547644,113537341,113531216,113517563,113515069	113761041,113759414,113661772,113609206,113552096,113547716,113537443,113531299,113517657,113515191	homologous_superfamily	ssf
CAMK2D__Protein kinase domain	ENST00000511664	chr4	-	113418054	113761927	113761068	113455755	10	113761004,113759320,113661713,113609152,113552031,113547644,113537341,113531216,113517563,113515072	113761029,113759414,113661772,113609206,113552096,113547716,113537443,113531299,113517657,113515191	domain	profile,pfam,smart
CAMK2D__Protein kinase, ATP binding site	ENST00000511664	chr4	-	113418054	113761927	113761068	113455755	2	113761004,113759351	113761011,113759414	binding_site	prosite
CAMK2D__Serine/threonine-protein kinase, active site	ENST00000511664	chr4	-	113418054	113761927	113761068	113455755	2	113547644,113537426	113547664,113537443	active_site	prosite
CAMK2D__NTF2-like domain superfamily	ENST00000511664	chr4	-	113418054	113761927	113761068	113455755	6	113504976,113502936,113500463,113465529,113460147,113457460	113505002,113502977,113500511,113465604,113460241,113457563	homologous_superfamily	ssf
CAMK2D__Calcium/calmodulin-dependent protein kinase II, association-domain	ENST00000511664	chr4	-	113418054	113761927	113761068	113455755	6	113504976,113502936,113500463,113465529,113460147,113457451	113504984,113502977,113500511,113465604,113460241,113457563	domain	pfam
NEK1__Protein kinase-like domain superfamily	ENST00000507142	chr4	-	169369704	169612632	169602630	169394510	9	169602514,169602008,169599100,169590726,169589447,169588649,169587559,169585349,169580852	169602630,169602104,169599197,169590809,169589514,169588735,169587613,169585549,169580902	homologous_superfamily	ssf
NEK1__Protein kinase domain	ENST00000507142	chr4	-	169369704	169612632	169602630	169394510	8	169602514,169602008,169599100,169590726,169589447,169588649,169587559,169585382	169602621,169602104,169599197,169590809,169589514,169588735,169587613,169585549	domain	profile,pfam,smart
NEK1__Protein kinase, ATP binding site	ENST00000507142	chr4	-	169369704	169612632	169602630	169394510	1	169602532	169602603	binding_site	prosite
NEK1__Serine/threonine-protein kinase, active site	ENST00000507142	chr4	-	169369704	169612632	169602630	169394510	2	169590726,169589503	169590752,169589514	active_site	prosite
FAM47E__FAM47 family	ENST00000424749	chr4	+	76214040	76283783	76283458	76251747	8	76251747,76256178,76263704,76268660,76271568,76278069,76280264,76283381	76251820,76256523,76263843,76268768,76271768,76278224,76280341,76283452	family	panther,pfam
GAK__Protein kinase-like domain superfamily	ENST00000314167	chr4	-	849276	932373	932187	849673	9	932043,913607,912735,911673,904637,898033,896460,893874,893401	932073,913668,912794,911787,904779,898158,896549,894009,893489	homologous_superfamily	ssf
GAK__Protein kinase domain	ENST00000314167	chr4	-	849276	932373	932187	849673	9	932043,913607,912735,911673,904637,898033,896460,893874,893416	932070,913668,912794,911787,904779,898158,896549,894009,893489	domain	profile,pfam,smart
GAK__Serine/threonine-protein kinase, active site	ENST00000314167	chr4	-	849276	932373	932187	849673	2	904637,898141	904657,898158	active_site	prosite
GAK__Tensin-type phosphatase domain	ENST00000314167	chr4	-	849276	932373	932187	849673	6	888847,884037,883315,882697,881907,877773	888857,884086,883463,882819,882040,877809	domain	profile
GAK__Protein-tyrosine phosphatase-like	ENST00000314167	chr4	-	849276	932373	932187	849673	5	884037,883315,882697,881907,877773	884073,883463,882819,882040,877809	homologous_superfamily	ssf,cathgene3d
GAK__Tensin phosphatase, C2 domain	ENST00000314167	chr4	-	849276	932373	932187	849673	4	877615,877090,876530,870829	877763,877207,876609,870904	domain	smart,profile,pfam
GAK__C2 domain superfamily	ENST00000314167	chr4	-	849276	932373	932187	849673	4	877615,877090,876530,870835	877760,877207,876609,870904	homologous_superfamily	ssf,cathgene3d
GAK__Chaperone J-domain superfamily	ENST00000314167	chr4	-	849276	932373	932187	849673	4	851750,850936,849892,849679	851801,851084,850068,849774	homologous_superfamily	cathgene3d,ssf
GAK__DnaJ domain	ENST00000314167	chr4	-	849276	932373	932187	849673	2	849892,849676	849990,849774	domain	profile,prints,cdd,pfam,smart
C5orf24__DUF5568 family	ENST00000394976	chr5	+	134845680	134859735	134854901	134855467	1	134854901	134855464	family	pfam,panther
TXNDC15__Thioredoxin domain-containing protein 15	ENST00000358387	chr5	+	134874371	134901635	134874428	134899685	5	134874467,134887695,134893492,134896294,134899489	134874530,134888182,134893655,134896424,134899682	family	panther
TXNDC15__Thioredoxin domain	ENST00000358387	chr5	+	134874371	134901635	134874428	134899685	4	134888048,134893492,134896294,134899489	134888182,134893655,134896424,134899490	domain	profile,pfam
TXNDC15__Thioredoxin-like superfamily	ENST00000358387	chr5	+	134874371	134901635	134874428	134899685	3	134888162,134893492,134896294	134888182,134893655,134896420	homologous_superfamily	ssf
SV2C__Synaptic vesicle protein SV2	ENST00000502798	chr5	+	76083383	76353939	76131751	76325547	12	76131751,76194919,76209736,76285162,76285781,76291221,76291768,76295778,76298794,76300729,76301386,76325364	76132330,76195099,76209887,76285295,76285870,76291331,76291856,76295942,76298927,76300932,76301545,76325544	family	tigrfams
SV2C__MFS transporter superfamily	ENST00000502798	chr5	+	76083383	76353939	76131751	76325547	11	76132186,76194919,76209736,76285162,76285781,76291221,76291768,76295778,76300812,76301386,76325364	76132330,76195099,76209887,76285295,76285870,76291331,76291856,76295880,76300932,76301545,76325541	homologous_superfamily	cathgene3d,ssf
SV2C__Major facilitator superfamily domain	ENST00000502798	chr5	+	76083383	76353939	76131751	76325547	12	76132210,76194919,76209736,76285162,76285781,76291221,76291768,76295778,76298794,76300729,76301386,76325364	76132330,76195099,76209887,76285295,76285870,76291331,76291856,76295942,76298927,76300932,76301545,76325529	domain	profile
SV2C__Major facilitator,  sugar transporter-like	ENST00000502798	chr5	+	76083383	76353939	76131751	76325547	5	76132306,76194919,76209736,76285162,76285781	76132330,76195099,76209887,76285295,76285840	family	pfam
